"Rajya	DISTRICT	BRANCH	ADDRESS	CENTRE	IFSC	CONTACT1	CONTACT2	CONTACT3	MICR_CODE",,,,,,,,,
"RAJASTHAN	BANSWARA	""MAHI BAJAJ SAGAR COMPLEX","  BANSWARA""	""MAHI  BAJAJ  SAGAR  COMPLEX","  BANSWARA - 327001""	BANSWARA	SBBJ0010605	02962-242509			",,,,,,,
"RAJASTHAN	BANSWARA	MORDI	""NEAR DENIM DIVISION GATE", RAJASTHAN SPINNING & WEAVING MILLS LTD, MORDI             TEHSIL GHATOL,"       DISTT- BANSWARA""	BANSWARA	SBBJ0010941	02961-231441	9413398460		",,,,,,
"RAJASTHAN	BANSWARA	PARTAPUR  GADHI	DISTT.  BANSWARA - 327024	PARTAPUR	SBBJ0010234	""02963-221039 ",221916," 221387""			",,,,,,,
"RAJASTHAN	BANSWARA	PIPALKHUNT	""STATE BANK OF BIKANER & JAIPUR", PIPALKHUNT, DISTRICT-PARTABGARH," RAJASTHAN PIN-327029""	PIPALKHUNT	SBBJ0011027	02961-233501			",,,,,,
"RAJASTHAN	BANSWARA	TALWARA	""VPO - TALWARA", DISTT. BANSWARA," RAJASTHAN""	TALWARA	SBBJ0011017	9413398398			327003201",,,,,,,
"RAJASTHAN	BANSWARA	""THIKARIYA I.A."," BANSWARA""	""SBBJ THIKARIYA IA", BANSWARA SILVER PLAZA COMPLEX, NEAR VIRANGANA TALKIES, DAHOD ROAD," BANSWARA 327001""	BANSWARA	SBBJ0011238	2962-257020			",,,,
"RAJASTHAN	BARAN	ANTA	""DISTT.  BARAN","  RAJASTHAN""	ANTAH	SBBJ0010786	07457-244790			",,,,,,,,
"RAJASTHAN	BARAN	ATRU	""Atru- 325218"," Dist - Baran""	ATRU	SBBJ0010258	Bikash Bardhan(Tel:07451-240234 Fax:240234)			",,,,,,,,
"RAJASTHAN	BARAN	Baran	Baran Hospital Road 325205	BARAN	SBBJ0010257	N K Somani(Tel: 07453-230103 Fax:231581)			",,,,,,,,,
"RAJASTHAN	BARAN	CHHABRA ADB	""CHHABRA  GUGAR","  DISTT.  BARAN - 325220""	CHHABRA	SBBJ0010463	07452-222229			",,,,,,,,
"RAJASTHAN	BARAN	CHHABRA GUGAR	DISTT.  BARAN - 325220	CHHABRA	SBBJ0010259	07452-222007			",,,,,,,,,
"RAJASTHAN	BARAN	CHIPA BAROD	DISTT.  BARAN - 325221	CHIPABAROD	SBBJ0010260	07454-220428			",,,,,,,,,
"RAJASTHAN	BARAN	DEENDAYAL PARK BARAN	""STATE BANK OF BIKANER AND JAIPUR", DEENDAYAL PARK BRANCH,                               SHAHBAD ROAD," BARAN(RAJ) PIN: 325205""	BARAN	SBBJ0010919	SHRI R.K. CHATURVEDI	9414211243		",,,,,,
"RAJASTHAN	BARAN	HARNAWADA SHAHJI	DISTT.  BARAN - 325225	HARNAWDASHAHJI	SBBJ0010471	07431-233038			",,,,,,,,,
"RAJASTHAN	BARAN	""JHALAWAR ROAD","BARAN""	""State Bank of Bikaner & Jaipur",,,,,,,,
Jhalawar Road,"Baran-325205.Rajasthan""	BARAN	SBBJ0011230	9425300424			325003051",,,,,,,,
"RAJASTHAN	BARAN	KAWAI	""NEAR POLICE STATION","                                                    KAWAI SALPURA                                       TEHSIL- ATRU                                    DIST-BARAN""	KAWAI	SBBJ0011012				",,,,,,,,
"RAJASTHAN	BARAN	KELWARA	DISTT.  BARAN - 325216	KELWARA	SBBJ0010426	07460-234122			",,,,,,,,,
"RAJASTHAN	BARAN	KISHANGANJ	DISTT.  BARAN - 325216	KISHANGANJ	SBBJ0010256	07456-224309			",,,,,,,,,
"RAJASTHAN	BARAN	KOTRI	""VIA -  CHHABRA  GUGAR",  DISTT.   BARAN,"  RAJASTHAN""	KOTRI	SBBJ0010699	0294-2422672			",,,,,,,
"RAJASTHAN	BARAN	MANGROL	DISTT.  BARAN - 325215	MANGROL	SBBJ0010262	07457-225228			",,,,,,,,,
"RAJASTHAN	BARAN	NAHARGARH	DISTT.  BARAN - 325216	NAHARGARH	SBBJ0010489	07456-281381			",,,,,,,,,
"RAJASTHAN	BARAN	""NEW MOTIPURA CTPP"," CHHABRA""	""MOTIPURA CTPP", VILLAGE MOTIPURA, CHHABRA," BARAN 325220""	CHHABRA	SBBJ0010988	9413398720			",,,,,
"RAJASTHAN	BARAN	PALAYATHA	DISTT.  BARAN - 325202	PALAYATHA	SBBJ0010490	07457-244838			",,,,,,,,,
"RAJASTHAN	BARAN	SAMRANIYA	""VIA -  KISHANGANJ","  DISTT.   BARAN - 325277""	SAMRANIYA	SBBJ0010444	07460-264244			",,,,,,,,
"RAJASTHAN	BARAN	SHAHBAD	DISTT.  BARAN - 325217	SHAHBAD	SBBJ0010267	07460-224303			",,,,,,,,,
"RAJASTHAN	BARAN	SISWALI	""STATE BANK OF BIKANER & JAIPUR", NEAR BUS STAND, SISWALI, TEHSIL MANGROL," DIST.BARAN - PIN 365206 (RAJASTHAN)""	SEESWALI	SBBJ0010992	9784583864			",,,,,
"RAJASTHAN	BARMER	AJIT	DISTT.  BARMER - 344030	AJIT	SBBJ0010494	02900-234122			",,,,,,,,,
"RAJASTHAN	BARMER	ASOTRA	""VIA -  BALOTRA","  DISTT.   BARMER - 344039""	ASOTRA	SBBJ0010540	02988-272205			",,,,,,,,
"RAJASTHAN	BARMER	BAITU	DISTT.  BARMER - 344034	BAITU	SBBJ0010352	02982-241121			",,,,,,,,,
"RAJASTHAN	BARMER	BALOTRA	BALOTRA 344022	BALOTRA	SBBJ0010175	S P VYAS 02988-220019 221317			",,,,,,,,,
"RAJASTHAN	BARMER	BAMRALA	""DISTT.  BARMER","  RAJASTHAN""	BAMARLA	SBBJ0010705	02903-268435			",,,,,,,,
"RAJASTHAN	BARMER	BHOOKA BHAGAT SINGH	DISTT.   BARMER  (RAJASTHAN)	BHOOKA BHAGAT SINGH	SBBJ0010701	02984-235265			",,,,,,,,,
"RAJASTHAN	BARMER	BHOONIA	DISTT.   BARMER - 344704	BHOONIYA	SBBJ0010672	02989-247125			",,,,,,,,,
"RAJASTHAN	BARMER	CHOHTAN	DISTT.  BARMER - 344702	CHOHTAN	SBBJ0010179	""02989-286125"," 286158""			",,,,,,,,
"RAJASTHAN	BARMER	""COLLECTRATE","  BARMER""	""COLLECTRATE","  BARMER - 344001""	BARMER	SBBJ0010729	""02982-220725"," 226065""			",,,,,,
"RAJASTHAN	BARMER	DHAKRA	""VIA -  BALOTRA","  DISTT.   BARMER - 344022""	DHANKHA	SBBJ0010661	02984-271222 PCO 9414107729			",,,,,,,,
"RAJASTHAN	BARMER	DHORIMANA	DISTT.  BARMER - 344704	DHORIMANA	SBBJ0010441	""02986-221222"," 221247""			",,,,,,,,
"RAJASTHAN	BARMER	GADRA ROAD (BARMER)	""SBBJ", GADRA ROAD CIRCLE," POST- GADRA ROAD - 344504""	GADRA RD	SBBJ0011020	9413307227			",,,,,,,
"RAJASTHAN	BARMER	GUDA MALANI	DISTT.  BARMER - 344031	GUDHA MALANI	SBBJ0010399	02983-230026			",,,,,,,,,
"RAJASTHAN	BARMER	""IND.ESTATE","  BALOTRA""	DISTT.  BARMER - 344022	BALOTRA	SBBJ0010482	""02988-220478"," 224478""			",,,,,,,
"RAJASTHAN	BARMER	INDRANA	""STATE BANK OF BIKANER & JAIPUR", MAIN MARKET, POST-INDRANA," DISTT. BARMER - 344044""	SIWANA	SBBJ0011059	02901-265206			344003501",,,,,,
"RAJASTHAN	BARMER	JASOL	DISTT.  BARMER - 344024	JASOL	SBBJ0010405	""02988-240040"," 240404""			",,,,,,,,
"RAJASTHAN	BARMER	KALYANPUR	DISTT.  BARMER - 344026	KALYANPURA	SBBJ0010492	02980-255032			",,,,,,,,,
"RAJASTHAN	BARMER	KAWAS	DISTT.  BARMER - 344035	KAWAS	SBBJ0010531	02982-248326			",,,,,,,,,
"RAJASTHAN	BARMER	KHANDUP	DISTT.  BARMER - 344043	KHANDAP	SBBJ0010504	02900-237102			",,,,,,,,,
"RAJASTHAN	BARMER	""KUM","  BARMER""	BARMER - 344001	BARMER	SBBJ0010599	""02982-220637"," 222817""			",,,,,,,
"RAJASTHAN	BARMER	KURLA	DISTT.   BARMER - 344001	KUNDLA	SBBJ0010709	02982-246355			",,,,,,,,,
"RAJASTHAN	BARMER	MANDALI	""Main Road",                  PO-Mandali-344026,                      Tehsil-. Pachpadra,"                    Dist- Armer""	MANDALI	SBBJ0011113	8003592736			344003515",,,,,,
"RAJASTHAN	BARMER	MITHODA DSIT BARMER	PANCHAYAT SAMITTEE MITHODA	BARMER	SBBJ0011244		sbbj11244@sbbj.co.in		344003180",,,,,,,,,
"RAJASTHAN	BARMER	MOKALSAR	DISTT.  BARMER - 343043	MOKALSAR	SBBJ0010461	02901-232250			",,,,,,,,,
"RAJASTHAN	BARMER	PACHPADRA	DISTT.  BARMER - 344032	PACHPADRA	SBBJ0010176	02988-281222			",,,,,,,,,
"RAJASTHAN	BARMER	PADROO	""TEHSIL - SIWANA","  DISTT.   BARMER - 344801""	PADROO	SBBJ0010470	02901-234230			",,,,,,,,
"RAJASTHAN	BARMER	""PANGHAT ROAD"," BARMER""	PANGHAT ROAD BARMER 344001	BARMER	SBBJ0010174	N M CKIRANIA 02982-220026 220352			",,,,,,,,
"RAJASTHAN	BARMER	PARLU	DISTT.  BARMER - 344027	PARLU	SBBJ0010505	02988-243241			",,,,,,,,,
"RAJASTHAN	BARMER	PATODI	""TEHSIL - PACHPADRA","  DISTT.  BARMER - 344037""	PATODI	SBBJ0010460	02980-254528			",,,,,,,,
"RAJASTHAN	BARMER	RAMSAR	DISTT.  BARMER - 344502	RAMSAR	SBBJ0010491	02985-270122			",,,,,,,,,
"RAJASTHAN	BARMER	SAMDARI	""MAIN  ROAD",  SAMDARI,"  DISTT.   BARMER - 344021""	SAMDARI	SBBJ0010339	02900-236230			",,,,,,,
"RAJASTHAN	BARMER	SARWARI	""PANCHAYAT SAMITEE", SARWARI," TAHSIL-PACHPADRA""	KALYANPURA	SBBJ0011245	2980253505			344003181",,,,,,,
"RAJASTHAN	BARMER	SERWA	DISTT.   BARMER - 344706	SERWA	SBBJ0010704	02989-246214 PCO			",,,,,,,,,
"RAJASTHAN	BARMER	SHEO	DISTT.  BARMER - 344701	SHEO	SBBJ0010177	02987-253042			",,,,,,,,,
"RAJASTHAN	BARMER	SINDRI	DISTT.  BARMER - 344033	SINDRI	SBBJ0010396	02984-220423			",,,,,,,,,
"RAJASTHAN	BARMER	SIWANA	DISTT.  BARMER - 343044	SIWANA	SBBJ0010178	02901-230630			",,,,,,,,,
"RAJASTHAN	BARMER	SIWANA  ADB	""CHAPARA  BHAWAN",   SIWANA,"   DISTT.  BARMER - 343044""	SIWANA	SBBJ0010322	02901-230631			",,,,,,,
"RAJASTHAN	BARMER	TAPRA	""TEHSIL  PACHPADRA","  DISTT.   BARMER - 344022""	TAPRA	SBBJ0010514	02988-251203			",,,,,,,,
"RAJASTHAN	BHARATPUR	BAYANA	DISTT.  BHARATPUR - 321404	BAYANA	SBBJ0010066	""05648-221014"," 220014""			",,,,,,,,
"RAJASTHAN	BHARATPUR	BHARATPUR   U.I.T.	""UIT  CAMPUS",  BHARATPUR,"  RAJASTHAN""	BHARATPUR	SBBJ0010855	""05644-223346"," 221757""			",,,,,,
"RAJASTHAN	BHARATPUR	BHARATPUR  B. N. GATE	""BHARTIYA  KUTIR",  B.  NARAIN  GATE,"  BHARATPUR - 321001""	BHARATPUR	SBBJ0010063	""05644-222441"," 231415""			",,,,,,
"RAJASTHAN	BHARATPUR	BHARATPUR  COLLECTORATE	""TREASURYBUILDING", COLLECTRATE," BHARATPUR-321001""	BHARATPUR	SBBJ0010557	""G L SHARMA"," 05644-223344""	05644-222502		",,,,,,
"RAJASTHAN	BHARATPUR	BHARATPUR  KANJOLI LINES	""KANJOLI  LINES","  BHARATPUR - 321001""	BHARATPUR	SBBJ0010474	""05644-260081"," 260472""			",,,,,,,
"RAJASTHAN	BHARATPUR	BHATAWALI	DISTT.   BHARATPUR - 321602	BHATAWALI	SBBJ0010700	""05644-282368"," 244368""			",,,,,,,,
"RAJASTHAN	BHARATPUR	DEEG	""JAWAHAR  GANJ","  DEEG - 321203""	DEEG	SBBJ0010067	""S.K.MADAN"," 05641-220028""			",,,,,,,
"RAJASTHAN	BHARATPUR	""IND. ESTATE","  BHARATPUR""	BHARATPUR - 321001	BHARATPUR	SBBJ0010062	""05644-238317"," 238250""			",,,,,,,
"RAJASTHAN	BHARATPUR	KAMAN	DISTT.  BHARATPUR - 321022	KAMAN	SBBJ0010068	""05640-220019"," 220694""			",,,,,,,,
"RAJASTHAN	BHARATPUR	KUMHER	""DISTT.   BHARATPUR","  RAJASTHAN""	KUMHER	SBBJ0010848	05644-240777			",,,,,,,,
"RAJASTHAN	BHARATPUR	NADBAI	""DISTT.   BHARATPUR","  RAJASTHAN""	NADBAI	SBBJ0010845	05643-224040			",,,,,,,,
"RAJASTHAN	BHARATPUR	NAGAR	""OLD  BUS  STAND",  NAGAR,"  DISTT.  BHARATPUR - 321205""	NAGAR	SBBJ0010070	""05641-242038"," 242012""			",,,,,,
"RAJASTHAN	BHARATPUR	NAI MANDI BHARATPUR	""PLOT NO. 2", STATION ROAD, NAI MANDI, BHARATPUR 321001," RAJASTHAN""	BHARATPUR	SBBJ0011297	05644 220330			321003002",,,,,
"RAJASTHAN	BHARATPUR	ROOPBAS	DISTT.  BHARATPUR - 321404	RUPBAS	SBBJ0010072	""H.C.CHOUDHARY"," 05645-243204""			",,,,,,,,
"RAJASTHAN	BHARATPUR	SANTRUK	DISTT.   BHARATPUR - 321025	SATROOK	SBBJ0010667	05644-272465			",,,,,,,,,
"RAJASTHAN	BHARATPUR	WEIR	DISTT.  BHARATPUR - 321408	WEIR	SBBJ0010073	""05643-272219"," 272216""			",,,,,,,,
"RAJASTHAN	BHILWARA	AGOOCHA	DISTT.  BHILWARA - 311029	AGOOCHA	SBBJ0010530	01483-225519			",,,,,,,,,
"RAJASTHAN	BHILWARA	AMLI	""TEHSIL  GANGAPUR","  BHILWARA - 311405""	AMLI	SBBJ0010676	01481-228077			",,,,,,,,
"RAJASTHAN	BHILWARA	ASIND	DISTT.  BHILWARA - 311301	ASIND	SBBJ0010096	""01480-220109"," 221030""			",,,,,,,,
"RAJASTHAN	BHILWARA	BANERA	DISTT.  BHILWARA - 311401	BANARA	SBBJ0010097	""01487-272028"," 272644""			",,,,,,,,
"RAJASTHAN	BHILWARA	BEMALI	DISTT.   BHILWARA - 311809	BEMALI	SBBJ0010690	01486-262474			",,,,,,,,,
"RAJASTHAN	BHILWARA	BIJOLIA	""NEAR  BUS STAND","  DISTT.  BHILWARA - 311602""	BIJOLIA	SBBJ0010818	02489-236401			",,,,,,,,
"RAJASTHAN	BHILWARA	""BILIYA IND. AREA","  BHILWARA""	""BILIYA","  BHILWARA - 311001""	BHILWARA	SBBJ0010525	""01482-260112","  260349""			",,,,,,
"RAJASTHAN	BHILWARA	Chandra Shekhar Azad Nagar	""State Bank of Bikaner & Jaipur", YASH PALACE, NEAR PUBLIC WATER TANK, MAIN ROAD, Chandra Shekhar Azad Nagar," Bhilwara""	BHILWARA	SBBJ0011106		9413398437		311003009",,,,
"RAJASTHAN	BHILWARA	GANGAPUR	""KUND  CHOWK",  GANGAPUR,"  DISTT.   BHILWARA - 311801""	GANGAPUR	SBBJ0010098	01481-220019			",,,,,,,
"RAJASTHAN	BHILWARA	HURDA	""GULABPURA","  DISTT.  BHILWARA - 311022""	HURDA	SBBJ0010099	01483-223048			",,,,,,,,
"RAJASTHAN	BHILWARA	""INDIRA MARKET","  BHILWARA""	""INDIRA  MARKET","  BHILWARA - 311001""	BHILWARA	SBBJ0010784	""01482-229811 ",225996,"			
RAJASTHAN	BHILWARA	INDUSTRIAL ESTATE","  BHILWARA""	""INDUSTRIAL  ESTATE","  BHILWARA - 311001""	BHILWARA	SBBJ0010093	01482-240361 240244			",,,
"RAJASTHAN	BHILWARA	JAHAJPUR	""DISTT","  BHILWARA - 311201""	JAHAZPUR	SBBJ0010100	01485-230023			",,,,,,,,
"RAJASTHAN	BHILWARA	KACHOLA	""PANCHAYAT BHAWAN"," KACHOLA""	KACHHOLA	SBBJ0010897	2525931			",,,,,,,,
"RAJASTHAN	BHILWARA	KHARIGRAM	""P.O. - GULABPURA","  BHILWARA - 311021""	GULABPURA	SBBJ0010414	""01483-223408 ",223076," 223093""			",,,,,,
"RAJASTHAN	BHILWARA	KOTRI	DISTT.  BHILWARA - 311603	KOTRI	SBBJ0010101	01488-235224			",,,,,,,,,
"RAJASTHAN	BHILWARA	""KUM","  BHILWARA""	""KRISHI  UPAJ  MANDI","  BHILWARA - 311001""	BHILWARA	SBBJ0010815	""01482-220658","  220658""			",,,,,,
"RAJASTHAN	BHILWARA	MANDAL	DISTT.  BHILWARA - 311403	MANDAL	SBBJ0010102	01486-266634			",,,,,,,,,
"RAJASTHAN	BHILWARA	MANDALGARH	DISTT.  BHILWARA - 311604	MANDALGARH	SBBJ0010103	01489-230006			",,,,,,,,,
"RAJASTHAN	BHILWARA	R.C. VYAS COLONY BHILWARA	""STATE BANK OF BIKANER AND JAIPUR", 4-A-10/B, R.C. VYAS COLONY, DISTRICT- BHILWARA," RAJASTHAN PIN CODE 311001.""	BHILWARA	SBBJ0011085	1482-230163			311003008",,,,,
"RAJASTHAN	BHILWARA	Raipur	""Hariom Complex", Gangapur Road," Raipur""	RAIPUR	SBBJ0011232	8003994730			",,,,,,,
"RAJASTHAN	BHILWARA	SARDAR  NAGAR	""TEHSIL  BANERA","  DISTT.   BHILWARA - 311401""	SARDAR NAGAR	SBBJ0010673	01487-272048			",,,,,,,,
"RAJASTHAN	BHILWARA	SAWAIPUR	""V & P SAWAIPUR", TEHSIL KOTRI, BHILWARA ," RAJASTHAN 311603""	BHILWARA	SBBJ0011395	1488 232524			311003531",,,,,,
"RAJASTHAN	BHILWARA	SHAHPURA	DISTT.  BHILWARA - 311404	SHAHPURA	SBBJ0010095	01484-222208			",,,,,,,,,
"RAJASTHAN	BHILWARA	SHASTRI NAGAR BHILWARA	""SHOP NO. 49",50,58-59, OPP. COMMUNITY CENTRE, SHASHTRI NAGAR," BHILWARA-311001 RAJASTHAN""	BHILWARA	SBBJ0011147	01482-251147	9413398163		311003011",,,,
"RAJASTHAN	BHILWARA	""SUBHASH NAGAR"," BHILWARA""	""73", LAXMI TOWERS, SUBHASH NAGAR EXTENSION, AJMER ROAD, BHILWARA-311001," RAJASTHAN""	BHILWARA	SBBJ0011146	9413398411			311003010",,,
"RAJASTHAN	BIKANER	AKASAR	""Village Akasar", Tehsil, Distt. Bikaner," Rajasthan - 334001""	BIKANER	SBBJ0011112		Phone no. only - 01534 - 235330		334003318",,,,,,
"RAJASTHAN	BIKANER	BAJJU	""TEHSIL - KOLAYAT","  DISTT.   BIKANER - 334405""	BAJJU	SBBJ0010496	""01535-232033"," 232235""			",,,,,,,
"RAJASTHAN	BIKANER	BHAMATSAR	DISTT.  BIKANER - 334801	BHAMATSAR	SBBJ0010609	01531-243095			",,,,,,,,,
"RAJASTHAN	BIKANER	BHINASAR	DISTT.  BIKANER - 334403	BIKANER	SBBJ0010167	""0151-2223039"," 2223040""			",,,,,,,,
"RAJASTHAN	BIKANER	BICHHWAL INDUSTRIAL AREA BIKANER	""STATE BANK OF BIKANER AND JAIPUR PLOT NO. 71",RIICO RESIDENTIAL COLONY BICHHWAL INDUSTRIAL AREA," BIKANER-334 006""	BIKANER	SBBJ0010929	SHRI SANJEEV GUPTA	0151-2223093	9414451998	",,,,,,,
"RAJASTHAN	BIKANER	BIKANER  DAUJI ROAD	""DAUJI  ROAD","  BIKANER - 334001""	BIKANER	SBBJ0010447	""0151-2223046"," 47""			",,,,,,,
"RAJASTHAN	BIKANER	BIKANER  GOGAGATE	""G. S. ROAD","  BIKANER - 334001""	BIKANER	SBBJ0010393	""2223049",50," M-9414582231""			",,,,,,
"RAJASTHAN	BIKANER	BIKANER  HOUSING BOARD	""NAGANECHIC  ROAD","  BIKANER - 334001""	BIKANER	SBBJ0010597	""0151-2223056"," 57""			",,,,,,,
"RAJASTHAN	BIKANER	BIKANER  IND.AREA	""INDUSTRIAL AREA"," BIKANER-334001""	BIKANER	SBBJ0010516	""M P  SHARMA"," 0151-2223059""	0151-2223060		",,,,,,,
"RAJASTHAN	BIKANER	BIKANER  JAINARIAN VYAS COLONY	""NO.11 D-107"," BIKANER-334003""	BIKANER	SBBJ0010794	""A K JANGID"," 0151-2223062""	0151-2223063		",,,,,,,
"RAJASTHAN	BIKANER	""BIKANER  K.U.M.","	BIKANER - 334001	BIKANER	SBBJ0010590	0151-2223077",78," 2252825""			",,,,,,
"RAJASTHAN	BIKANER	BIKANER  R.C.P. COLONY	""R.C.P. COLONY"," BIKANER-334002""	BIKANER	SBBJ0010556	""SHRAWAN KUMAR"," 0151-2223088""	0151-2223090		",,,,,,,
"RAJASTHAN	BIKANER	BIKANER CITY	""BHADANIA KI POL", OPP.CITY HOSPITAL," BIKANER-334001""	BIKANER	SBBJ0010164	""G D SHARMA"," 0151-2223042""	0151-2223043		",,,,,,
"RAJASTHAN	BIKANER	BIKANER HOSPITAL ROAD	""KOTHARI CORNER", DR.AMBEDKAR CIRCLE," BIKANER-334001""	BIKANER	SBBJ0010163	""R P DAWAL"," 0151-2223053""	0151-2223052		",,,,,,
"RAJASTHAN	BIKANER	BIKANER JASSUSAR GATE	""JASSUSAR GATE"," BIKANER-334001""	BIKANER	SBBJ0010312	""D P BERIWAL"," 0151223065""	0151-2223066		",,,,,,,
"RAJASTHAN	BIKANER	BIKANER KOTE GATE	""KOTE GATE"," BIKANER-334001""	BIKANER	SBBJ0010161	""VIMLA VERMA"," 0151-2223074""	0151-2223075		",,,,,,,
"RAJASTHAN	BIKANER	""BIKANER"," PUBLIC PARK""	""PUBLIC PARK"," BIKANER -334 001""	BIKANER	SBBJ0010162	""S K ACHARYA "," 0151-2222087""	0151-2223086		",,,,,,
"RAJASTHAN	BIKANER	BITHNOKE	""TEHSIL  KOLAYAT","  DISTT.   BIKANER - 334302""	BEETHNOKH	SBBJ0010611	01534-234806			",,,,,,,,
"RAJASTHAN	BIKANER	CHATTARGARH	DISTT.  BIKANER - 334021	CHHATARGARH	SBBJ0010134	""01520-242244",242764,"			
RAJASTHAN	BIKANER	DESHNOKE	DISTT.  BIKANER - 334801	DESHNOKE	SBBJ0010165	0151-2825231"," 2825513""			",,,,,,
"RAJASTHAN	BIKANER	DHARNOKE	""VIA -  PANCHOO","  DISTT.  BIKANER (RAJASTHAN)""	DHARNOK	SBBJ0010617	""0151-2223011"," 222301""			",,,,,,,
"RAJASTHAN	BIKANER	DHINGSARI	DISTT.  BIKANER - 334804	DHEENGSARI	SBBJ0010618	01532-255110			",,,,,,,,,
"RAJASTHAN	BIKANER	DIYATRA	DISTT.  BIKANER - 334303	DIYATRA	SBBJ0010583	01536-244419			",,,,,,,,,
"RAJASTHAN	BIKANER	GADIYALA	DISTT.  BIKANER - 334303	GADIYALA	SBBJ0010574	01536-244022			",,,,,,,,,
"RAJASTHAN	BIKANER	GAJNER	DISTT.   BIKANER - 334301	GAJNER	SBBJ0010317	""01534-275031"," 275083""			",,,,,,,,
"RAJASTHAN	BIKANER	GANGASHAHAR	""STATE BANK OF BIKANER & JAIPUR",,,,,,,,,
GANGASHAHAR,,,,,,,,,
PLOT NO -2,,,,,,,,,
MAHABALI PURAM COLONY,,,,,,,,,
NEAR BUS STAND GANGASHAHAR,,,,,,,,,
NOKHA ROAD,,,,,,,,,
GANGASHAHAR,,,,,,,,,
DIST - BIKANER,,,,,,,,,
RAJASTHAN,,,,,,,,,
"PIN : 344001""	BIKANER	SBBJ0011268	982807722	sbbj11268@sbbj.co.in		334 003 024",,,,,,,,,
"RAJASTHAN	BIKANER	GIRRAJSAR	DISTT.  BIKANER - 334302	GIRRAJSAR	SBBJ0010575	01535-273112			",,,,,,,,,
"RAJASTHAN	BIKANER	GODU	DISTT.  BIKANER - 334302	GODOO	SBBJ0010610	01533-228026			",,,,,,,,,
"RAJASTHAN	BIKANER	HIMATSAR	""TEHSIL  NOKHA","  DISTT.   BIKANER - 334802""	HIMATSAR	SBBJ0010401	01531-266636			",,,,,,,,
"RAJASTHAN	BIKANER	JAITPUR	DISTT.  BIKANER - 334604	JAITPUR	SBBJ0010578	01526-266066			",,,,,,,,,
"RAJASTHAN	BIKANER	JAMSAR	DISTT.  BIKANER - 334601	JAMSAR	SBBJ0010315	01522-260920			",,,,,,,,,
"RAJASTHAN	BIKANER	JANGLOO	DISTT.  BIKANER - 334803	JANGLOO	SBBJ0010608	01532-233544			",,,,,,,,,
"RAJASTHAN	BIKANER	JASRASAR	""VIA -  NOKHA","  DISTT.  BIKANER - 334802""	JASRASAR	SBBJ0010316	01531-264433			",,,,,,,,
"RAJASTHAN	BIKANER	""JAWAHAR NAGAR"," BIKANER""	""A-6", JAWAHAR NAGAR, JAISALMER ROAD, BIKANER-334001," RAJASTHAN""	BIKANER	SBBJ0011143	9413396813			",,,,
"RAJASTHAN	BIKANER	JHAJHU	""TEHSIL  KOLAYAT","  DISTT.   BIKANER - 334304""	JHAJHU	SBBJ0010519	""01534-234026"," 234290""			",,,,,,,
"RAJASTHAN	BIKANER	""K.E.M.ROAD","  BIKANER""	""KHUMADANJI  KA  DERA","  BIKANER - 334001""	BIKANER	SBBJ0010347	""0151-2223069",70," 2529650""			",,,,,
"RAJASTHAN	BIKANER	KAKKU	""DISTT.   BIKANER","  RAJASTHAN""	KAKKU	SBBJ0010584	01532-253020			",,,,,,,,
"RAJASTHAN	BIKANER	KAKRA	DISTT.  BIKANER - 334802	KAKDA	SBBJ0010573	01531-266626			",,,,,,,,,
"RAJASTHAN	BIKANER	KALOO	DISTT.  BIKANER - 334602	KALOO	SBBJ0010337	""01528-243331"," 243809""			",,,,,,,,
"RAJASTHAN	BIKANER	""KARNI NAGAR (LALGARH)"," BIKANER""	POST CHAKERI DISTT. SAWAI MADHOPUR (RAJASTHAN) - 322034	""KARNI NAGAR (LALGARH)"," BIKANER""	SBBJ0011052	334003006			",,,,,,,
"RAJASTHAN	BIKANER	KHAJUWALA A.D.B.	""KHAJUWALA",  BERIYAWALI,"  DISTT.   BIKANER - 334023""	BERIYAWALI	SBBJ0010409	""01520-232224"," 232056""			",,,,,,
"RAJASTHAN	BIKANER	KHARA	DISTT.   BIKANER - 334601	KHARA	SBBJ0010725	01522-260104			",,,,,,,,,
"RAJASTHAN	BIKANER	""KHATURIA COLONY","BIKANER""	""A-21 KHATURIA COLONY", BIKANER, DISTT.- BIKANER," STATE-RAJASTHAN PIN- 334003""	BIKANER	SBBJ0011048	TEL:0151-2223540			",,,,,
"RAJASTHAN	BIKANER	KHINYERA	""DISTT.  BIKANER","  RAJASTHAN""	KHEENYERA	SBBJ0010612	01528-268282			",,,,,,,,
"RAJASTHAN	BIKANER	KOLAYAT	DISTT.  BIKANER - 334302	KOLAYAT	SBBJ0010168	""01534-236029"," 236020""			",,,,,,,,
"RAJASTHAN	BIKANER	KUCHOR AGUNI	""STATE BANK OF BIKANER AND JAIPUR"," VILLAGE KUCHOR AGUNI TEHSIL NOKHA""	BIKANER	SBBJ0011310	0151 9413396864			334003135",,,,,,,,
"RAJASTHAN	BIKANER	LAKHUSAR	""SBBJ SAMUDAYAK BAHWAN PANCHAYAT SAMITI", POST LAKHUSAR-334001," DISTT. BIKANER""	BIKANER	SBBJ0011136		0151-210210  9413396948		334 003 502",,,,,,,
